Date,Open,High,Low,Close,Adj Close,Volume,Code,SMA,EMA,SMMA,MOMENTUM,BBAND_UPPER,BBAND_LOWER,MACD,MACD_SIGNAL,RSI,STOCH,STOCHAS_SIGNAL,PSARBULL,PSARBEAR
2018-04-10,1539.5,1549.0,1526.5,1485.30139136,1541.0,7607300,6752,1526.15,1543.3018446213766,1566.5485193762318,93.42224916641406,1564.7143617864886,1487.5856382135116,8.160846737249358,11.85375391335472,42.8161525386799,30.279232111692846,26.207563473708678,1485.30139136,
2018-04-11,1535.0,1544.0,1532.0,1489.1233078784,1535.5,5166500,6752,1523.15,1541.8833253626715,1563.4409965088578,98.0836793356755,1552.591637182724,1493.708362817276,7.144549662583813,11.494267866510906,42.002083479653464,33.089579524680076,29.704614916318576,1489.1233078784,
2018-04-12,1523.0,1526.0,1509.5,1492.715909405696,1522.5,6667100,6752,1525.05,1538.3590802107394,1559.3437273990214,101.26371799135352,1551.4713928474478,1498.6286071525521,6.836742086073173,10.889581391345498,40.063145149335114,30.30869971936389,31.225837118578948,1492.715909405696,
2018-04-13,1530.0,1569.5,1530.0,1496.0929548413542,1561.0,9037200,6752,1529.05,1542.4756150733224,1559.5094700489217,102.62984878369494,1562.8803118519352,1495.2196881480647,4.64115597633122,9.904191441032278,47.75513703413684,34.86590038314176,32.754726542395254,1496.0929548413542,
2018-04-16,1558.0,1565.5,1551.5,1501.9655184540459,1558.0,4330000,6752,1533.45,1545.298232753978,1559.358428404545,102.90620871862615,1569.6672610780995,1497.2327389219006,3.150563979485696,8.606805545545134,47.24632414839991,44.7973713033954,36.657323801967024,1501.9655184540459,
2018-04-17,1554.5,1558.0,1545.0,1507.3682769777222,1553.0,5299900,6752,1539.3,1546.69855498044,1558.7222267967243,103.91435262629642,1566.1484636431817,1512.4515363568182,2.275370158398573,7.343246922641027,46.35975508696132,63.00268096514745,47.55531755056155,1507.3682769777222,
2018-04-18,1557.0,1584.0,1552.0,1512.3388148195045,1575.5,8125600,6752,1543.9,1551.9351841288772,1560.400856069729,103.00751879699249,1577.395671362122,1510.4043286378783,0.5744781069292912,5.992750950587858,50.831043979678064,81.89368770764119,63.231246658728026,1512.3388148195045,
2018-04-19,1581.0,1586.0,1565.5,1519.5049333375541,1567.5,5898000,6752,1548.35,1554.765151880655,1561.1110948827343,102.92186474064347,1581.3774128565847,1515.3225871434151,-0.2253485001062927,4.691621279023214,49.258806952469016,85.32883642495784,76.74173503258217,1519.5049333375541,
2018-04-20,1552.0,1586.5,1551.0,1527.4843413370477,1581.5,5858300,6752,1553.7,1559.6260350851321,1563.1508239236362,103.50130890052355,1589.0587330089659,1518.3412669910342,-1.4059815248053837,3.461375186904383,52.05370989803163,89.69404186795491,85.638855333518,1527.4843413370477,
2018-04-23,1574.0,1582.5,1569.0,1535.746533549861,1580.0,4211200,6752,1557.55,1563.3303934199614,1564.8363651621216,102.49756730457347,1595.0745253134448,1520.025474686555,-2.092689740084552,2.3220933560895043,51.7249686497277,89.96655518394648,88.32981115895309,1535.746533549861,
